date,category,region,sales,units,discount,rating,month,month_n,revenue
2024-04-12,Furniture,West,307.95633076471165,24,0.2224726940159028,2.272446214472478,April,4,5746.666949285612
2024-12-14,Books,South,304.7595011387,22,0.30265432151397387,4.465754670110582,December,12,4675.499864125851
2024-09-27,Food,East,507.62638537042335,5,0.1034753322791632,4.973347749434514,September,9,2275.4978823527413
2024-04-16,Electronics,East,426.703987191788,33,0.07725314583491723,4.00971105046229,April,4,12993.412140750363
2024-03-12,Electronics,South,178.12148602250875,36,0.03363928978719386,1.361926781148203,March,3,6196.6658065273905
2024-07-07,Books,South,576.9411876187244,47,,2.1547423821225524,July,7,
2024-01-21,Food,East,317.2265538070122,20,0.2239377249235318,,January,1,4923.75122124275
2024-04-12,Food,East,325.95124620960416,19,0.046337542712103066,3.602046591166863,April,4,5906.101861909765
2024-05-01,Furniture,South,493.7560948569614,35,0.15067814479471953,4.060763458223139,May,5,14677.524487599014
2024-08-02,Food,East,364.98265128891296,43,,4.702699323522847,August,8,
2024-11-26,Food,North,518.3758247509279,17,0.32747176819993673,2.7526893856479506,November,11,5926.580406069897
2024-03-28,Food,North,796.0191337403837,45,0.05137948723727655,4.605502598353777,March,3,33980.40354679837
2024-04-09,Clothing,South,,43,0.11333717930623265,4.511564636165311,April,4,
2024-12-25,Furniture,West,341.0631280675027,34,0.007371087495286988,2.2687828670615944,December,12,11510.670144909429
2024-05-31,Electronics,South,527.2260466440965,9,0.17289631355700494,4.475602502162284,May,5,3924.6354609128884
2024-05-10,Books,South,383.71523094984684,26,0.33604860109648754,2.502689007526906,May,5,6623.974873613113
2024-05-29,Electronics,West,503.562722299662,2,0.15686048457807866,,May,5,849.1472593285612
2024-11-04,Furniture,West,547.3453965021858,9,0.07179892936953336,3.5962986351775723,November,11,4572.419247341875
2024-09-14,Books,West,494.72045923062745,9,,2.3135249115403242,September,9,
2024-12-09,Furniture,North,508.4838424383752,40,0.31552279274829775,3.520834993316577,December,12,13921.824016193346
2024-10-20,Food,East,528.8135570948974,17,,3.439327221994778,October,10,
2024-07-10,Books,North,739.5669083781216,1,0.3083416434163959,3.253755709393835,July,7,511.5276324324285
2024-10-03,Food,East,462.0621043839508,25,,2.521678816931191,October,10,
2024-06-09,Electronics,North,519.1151610002136,43,0.06655103477290894,3.193998886605907,June,6,20836.402924381797
2024-11-09,Electronics,East,630.0273595013215,40,0.30839371701285423,,November,11,17429.235211396604
2024-01-22,Books,North,570.6555247127031,42,0.28342880184105174,3.1827475539818937,January,1,17174.44314933501
2024-09-09,Books,West,446.2686199263831,25,0.1894295553740354,2.777677811004806,September,9,9043.303841908599
2024-08-23,Furniture,South,635.279515552683,39,0.02316818422351932,1.0586682281850552,August,8,24201.888465414286
2024-12-10,Furniture,North,,35,,,December,12,
2024-02-18,Food,East,,3,0.3409658636794591,1.6737775405708786,February,2,
2024-02-28,Books,West,963.3869901568133,37,0.39605934910025886,3.5703038757887584,February,2,21527.656938434986
2024-06-18,Electronics,North,586.4261899206651,44,0.2704209028747018,4.037377311691464,June,6,18825.14876760969
2024-07-06,Furniture,North,678.4399671927123,44,0.1783833228041286,3.001781236522966,July,7,24526.3740269571
2024-09-27,Furniture,West,533.5004238044532,30,0.25902945736076305,3.1694546599189533,September,9,11859.242955739459
2024-07-08,Electronics,North,,38,,4.805914238663965,July,7,
2024-06-23,Furniture,South,368.74869988128864,34,0.15344490416224874,4.388669445490297,June,6,10613.647092913716
2024-02-20,Food,North,394.61733243197534,12,0.02625045782960518,4.656946063805879,February,2,4611.101361457662
2024-12-29,Books,South,321.01098265423616,19,0.3286051789629764,4.255065153278346,December,12,4094.9771137511393
2024-02-24,Electronics,South,173.49779160917262,37,0.14873341169548984,1.4356733673869257,February,2,5464.636306235769
2024-08-31,Books,West,441.34489981542623,44,0.3275142573428375,1.5959674238807788,August,8,13059.118719694425
2024-11-15,Furniture,North,455.2842095970552,49,0.1010034998753529,3.1064951890758383,November,11,20055.646638498678
2024-05-10,Furniture,West,825.9263443059958,17,0.0004117919382533586,1.984278635191993,May,5,14034.965986428932
2024-11-02,Electronics,North,734.4220349312166,10,0.06357531331070261,2.9067819001646367,November,11,6877.309239581806
2024-05-14,Food,North,583.3460359450302,49,0.18741576670743376,2.577461295273401,May,5,23226.871776769858
2024-01-21,Clothing,East,812.6715845812346,47,0.37772145398313195,3.1976569537218134,January,1,23768.280325994438
2024-11-24,Electronics,North,708.6355244277912,12,0.040877447877487594,3.987502864543291,November,11,8156.019752566298
2024-06-15,Clothing,West,,16,0.3416839097846264,,June,6,
2024-09-30,Clothing,South,660.1184258352127,24,0.21080963848474485,3.0849365299413374,September,9,12503.018379066545
2024-03-29,Food,North,,19,0.33036830631995867,4.289573675268232,March,3,
2024-11-11,Clothing,East,456.5933079300963,8,0.11934977239599705,2.7234483661521334,November,11,3216.792004408831
2024-01-14,Clothing,West,287.7196220723728,31,0.3359788658689888,4.586857159360489,January,1,5922.609202567529
2024-08-29,Food,North,589.3101703565635,21,,1.2851210802206556,August,8,
2024-09-21,Clothing,West,188.13084155382552,17,0.09202147321257358,4.81864012013323,September,9,2903.918994074461
2024-12-11,Clothing,East,496.778755643801,23,0.052534050563751225,3.6187723257253928,December,12,10825.661973643679
2024-02-22,Clothing,East,407.43643875696876,37,0.34722172901291715,2.520298035748821,February,2,9840.729199069616
2024-12-05,Electronics,West,,16,0.3852946613760528,1.7886165062915094,December,12,
2024-04-01,Electronics,North,678.3201511478309,6,0.012520925499006498,2.9167329177743997,April,4,4018.961730425004
2024-09-20,Electronics,South,493.80373541288407,8,0.29250802678947424,1.778233292741204,September,9,2794.897433167918
2024-02-04,Food,East,,25,0.36380980437912736,1.6653264309725686,February,2,
2024-07-24,Furniture,North,636.1807920863641,18,0.3429440368369995,3.469407029651897,July,7,7524.114895621918
2024-03-21,Clothing,North,498.68141655449665,25,0.38580818890808344,3.0923388983271387,March,3,7657.151059787219
2024-02-19,Clothing,South,567.7116797971247,12,0.30403763137523887,3.6803841384437668,February,2,4741.271584410586
2024-12-25,Food,East,622.3777430733635,15,0.1769195049523641,4.718423509687957,December,12,7684.004713131815
2024-01-02,Clothing,East,585.0133890378239,26,0.12478079619805219,3.1290408533561607,January,1,13312.38876674625
2024-02-23,Electronics,North,542.8970249282426,41,0.12829709617525098,3.323728213051191,February,2,19403.041437418415
2024-04-15,Furniture,North,767.4669253062585,45,0.2897690690456468,1.3585053566197685,April,4,24528.543697662255
2024-09-16,Books,South,686.2955897014784,26,0.2983348048123857,3.870543143634518,September,9,12520.292951511454
2024-11-05,Clothing,South,487.1355246150749,47,,,November,11,
2024-07-09,Electronics,East,363.54605747773206,32,0.34724912539621244,,July,7,7593.76022327515
2024-08-05,Books,West,595.7935474756466,10,0.28596961608089905,4.292696062382641,August,8,4254.146954405591
2024-02-13,Furniture,East,532.3790972283508,16,,3.0899241620644733,February,2,
2024-06-10,Books,North,,7,0.1886129840410051,1.4928906166886642,June,6,
2024-07-20,Electronics,East,648.1239508551083,17,0.21729312231598327,4.437663173122356,July,7,8623.948256742526
2024-09-26,Books,West,614.6306582002862,23,0.06369829531170579,4.199124381696087,September,9,13236.033859612175
2024-12-16,Food,South,,26,0.08148049971050969,1.738340518148132,December,12,
2024-10-30,Books,West,368.6451887499136,21,0.03646579616247667,2.1811131568812403,October,10,7459.247217254311
2024-09-27,Clothing,West,470.3055546948027,22,0.06146321526444507,4.173629032591349,September,9,9710.779389223699
