date,category,region,sales,units,discount,rating
2024-04-12,Furniture,West,307.95633076471165,24,0.2224726940159028,2.272446214472478
2024-12-14,Books,South,304.7595011387,22,0.30265432151397387,4.465754670110582
2024-09-27,Food,East,507.62638537042335,5,0.1034753322791632,4.973347749434514
2024-04-16,Electronics,East,426.703987191788,33,0.07725314583491723,4.00971105046229
2024-03-12,Electronics,South,178.12148602250875,36,0.03363928978719386,1.361926781148203
2024-07-07,Books,South,576.9411876187244,47,,2.1547423821225524
2024-01-21,Food,East,317.2265538070122,20,0.2239377249235318,
2024-04-12,Food,East,325.95124620960416,19,0.046337542712103066,3.602046591166863
2024-05-01,Furniture,South,493.7560948569614,35,0.15067814479471953,4.060763458223139
2024-08-02,Food,East,364.98265128891296,43,,4.702699323522847
2024-11-26,Food,North,518.3758247509279,17,0.32747176819993673,2.7526893856479506
2024-03-28,Food,North,796.0191337403837,45,0.05137948723727655,4.605502598353777
2024-04-09,Clothing,South,,43,0.11333717930623265,4.511564636165311
2024-12-25,Furniture,West,341.0631280675027,34,0.007371087495286988,2.2687828670615944
2024-05-31,Electronics,South,527.2260466440965,9,0.17289631355700494,4.475602502162284
2024-05-10,Books,South,383.71523094984684,26,0.33604860109648754,2.502689007526906
2024-05-29,Electronics,West,503.562722299662,2,0.15686048457807866,
2024-11-04,Furniture,West,547.3453965021858,9,0.07179892936953336,3.5962986351775723
2024-09-14,Books,West,494.72045923062745,9,,2.3135249115403242
2024-12-09,Furniture,North,508.4838424383752,40,0.31552279274829775,3.520834993316577
2024-10-20,Food,East,528.8135570948974,17,,3.439327221994778
2024-07-10,Books,North,739.5669083781216,1,0.3083416434163959,3.253755709393835
2024-10-03,Food,East,462.0621043839508,25,,2.521678816931191
2024-06-09,Electronics,North,519.1151610002136,43,0.06655103477290894,3.193998886605907
2024-11-09,Electronics,East,630.0273595013215,40,0.30839371701285423,
2024-01-22,Books,North,570.6555247127031,42,0.28342880184105174,3.1827475539818937
2024-09-09,Books,West,446.2686199263831,25,0.1894295553740354,2.777677811004806
2024-08-23,Furniture,South,635.279515552683,39,0.02316818422351932,1.0586682281850552
2024-12-10,Furniture,North,,35,,
2024-02-18,Food,East,,3,0.3409658636794591,1.6737775405708786
2024-02-28,Books,West,2800.0,37,0.39605934910025886,3.5703038757887584
2024-06-18,Electronics,North,586.4261899206651,44,0.2704209028747018,4.037377311691464
2024-07-06,Furniture,North,678.4399671927123,44,0.1783833228041286,3.001781236522966
2024-09-27,Furniture,West,533.5004238044532,30,0.25902945736076305,3.1694546599189533
2024-07-08,Electronics,North,,38,,4.805914238663965
2024-06-23,Furniture,South,368.74869988128864,34,0.15344490416224874,4.388669445490297
2024-02-20,Food,North,394.61733243197534,12,0.02625045782960518,4.656946063805879
2024-12-29,Books,South,321.01098265423616,19,0.3286051789629764,4.255065153278346
2024-02-24,Electronics,South,173.49779160917262,37,0.14873341169548984,1.4356733673869257
2024-08-31,Books,West,441.34489981542623,44,0.3275142573428375,1.5959674238807788
2024-11-15,Furniture,North,455.2842095970552,49,0.1010034998753529,3.1064951890758383
